day,wt_diff_mean,wt_diff_std,hrv_mean,lf_hf_ratio,rr_full,rr_deep
1,-1.752,1.7,20.213,2.458,15.2,15.2
2,-1.08,1.399,23.937,2.061,15.0,15.0
3,-0.907,0.962,16.818,1.47,15.2,15.2
4,-1.333,2.111,25.774,2.063,14.4,14.4
5,-1.786,1.984,26.972,1.967,15.0,15.0
6,-0.856,1.235,19.502,2.745,14.8,14.8
7,-0.573,0.76,26.484,2.256,15.6,15.6
8,-1.74,2.184,22.075,2.406,15.6,15.6
9,-1.037,1.729,17.258,2.011,15.2,15.2
10,-0.779,1.07,22.361,2.607,15.2,15.2
11,-0.646,1.945,24.735,1.797,15.2,15.2
12,-0.401,1.866,26.084,2.02,16.0,16.0
13,-1.03,1.797,24.541,2.163,15.4,15.4
14,-0.8,1.229,22.657,2.727,15.8,15.8
15,-0.429,0.963,23.184,2.588,15.6,15.6
16,-0.593,1.289,20.76,2.877,15.8,15.8
17,-1.072,1.783,23.94,2.168,16.0,16.0
18,-0.858,0.973,20.212,2.94,16.2,16.2
19,-1.048,1.09,17.925,1.685,16.6,16.6
20,-0.649,0.948,20.428,1.891,16.0,16.0
21,-0.93,2.033,18.247,2.787,16.8,16.8
22,-1.223,1.831,21.647,1.332,16.4,16.4
23,-1.141,1.5,27.525,1.522,15.4,15.4
24,-1.823,1.335,26.023,1.483,14.6,14.6
25,-0.927,1.07,36.818,1.128,15.6,15.6
26,-2.067,1.917,25.463,1.744,14.8,14.8
27,-1.225,1.197,23.645,2.405,14.4,14.4
28,-1.541,1.691,24.151,2.295,15.6,15.6
